"Name","Team","PA","BB%","K%","AVG","OBP","SLG","LD%","FB%","IFFB%","Hard%","Oppo%","Spd","BABIP","playerid"
"Eric Thames","Brewers","53","9.4 %","20.8 %",".426",".491","1.000","25.0 %","41.7 %","6.7 %","55.6 %","27.8 %","2.6",".448","3711"
"Freddie Freeman","Braves","56","16.1 %","21.4 %",".426",".518",".872","28.6 %","28.6 %","0.0 %","48.6 %","17.1 %","5.0",".500","5361"
"Nolan Arenado","Rockies","62","8.1 %","14.5 %",".357",".419",".786","14.9 %","53.2 %","12.0 %","40.4 %","23.4 %","0.8",".341","9777"
"Zack Cozart","Reds","48","14.6 %","18.8 %",".425",".500",".700","15.6 %","40.6 %","15.4 %","28.1 %","25.0 %","6.0",".516","2616"
"Avisail Garcia","White Sox","54","5.6 %","22.2 %",".440",".481",".680","21.1 %","31.6 %","8.3 %","34.2 %","29.0 %","4.7",".543","5760"
"Chase Headley","Yankees","54","18.5 %","16.7 %",".409",".519",".614","38.2 %","29.4 %","0.0 %","25.7 %","37.1 %","5.8",".485","4720"
"Bryce Harper","Nationals","59","18.6 %","16.9 %",".354",".475",".688","16.2 %","45.9 %","0.0 %","31.6 %","36.8 %","2.8",".382","11579"
"Eugenio Suarez","Reds","50","10.0 %","16.0 %",".364",".440",".705","33.3 %","27.8 %","10.0 %","36.1 %","33.3 %","7.6",".394","12552"
"Ryan Zimmerman","Nationals","49","6.1 %","22.4 %",".356",".408",".667","23.5 %","35.3 %","8.3 %","29.4 %","26.5 %","4.0",".419","4220"
"Francisco Lindor","Indians","66","10.6 %","12.1 %",".351",".415",".684","18.0 %","50.0 %","4.0 %","43.1 %","19.6 %","5.7",".348","12916"
"Ryan Braun","Brewers","58","15.5 %","22.4 %",".306",".414",".653","25.0 %","36.1 %","0.0 %","47.2 %","30.6 %","5.4",".323","3410"
"Jose Ramirez","Indians","60","10.0 %","11.7 %",".365",".417",".654","29.8 %","46.8 %","13.6 %","40.4 %","19.2 %","0.7",".349","13510"
"David Freese","Pirates","49","20.4 %","8.2 %",".333",".469",".564","20.0 %","28.6 %","0.0 %","37.1 %","28.6 %","0.1",".333","9549"
"Robbie Grossman","Twins","47","23.4 %","14.9 %",".333",".489",".528","31.0 %","24.1 %","0.0 %","48.3 %","17.2 %","1.5",".393","5254"
"Mitch Moreland","Red Sox","61","11.5 %","23.0 %",".358",".443",".604","25.6 %","38.5 %","0.0 %","59.0 %","25.6 %","1.3",".474","3086"
"Mike Trout","Angels","62","14.5 %","24.2 %",".327",".419",".635","31.6 %","26.3 %","30.0 %","36.8 %","34.2 %","6.9",".400","10155"
"Wil Myers","Padres","64","1.6 %","21.9 %",".361",".375",".656","31.3 %","33.3 %","6.3 %","43.8 %","25.0 %","5.1",".422","10047"
"Marcell Ozuna","Marlins","61","8.2 %","21.3 %",".345",".393",".636","20.9 %","32.6 %","14.3 %","53.5 %","27.9 %","0.2",".368","10324"
"Justin Turner","Dodgers","58","6.9 %","8.6 %",".360",".448",".520","24.4 %","40.0 %","0.0 %","31.1 %","26.7 %","3.6",".400","5235"
"Miguel Sano","Twins","61","19.7 %","32.8 %",".245",".393",".612","17.2 %","44.8 %","0.0 %","51.7 %","27.6 %","4.5",".320","12164"
"Yoenis Cespedes","Mets","62","14.5 %","21.0 %",".250",".355",".654","12.5 %","60.0 %","8.3 %","50.0 %","27.5 %","1.9",".206","13110"
"Mitch Haniger","Mariners","69","14.5 %","24.6 %",".293",".406",".569","19.5 %","41.5 %","5.9 %","34.2 %","22.0 %","4.9",".351","14274"
"Daniel Murphy","Nationals","58","1.7 %","6.9 %",".368",".379",".596","34.0 %","39.6 %","4.8 %","35.9 %","22.6 %","1.1",".373","4316"
"Chris Davis","Orioles","50","10.0 %","34.0 %",".311",".380",".600","28.6 %","42.9 %","0.0 %","28.6 %","21.4 %","1.5",".440","9272"
"Cesar Hernandez","Phillies","62","6.5 %","22.6 %",".345",".387",".586","20.9 %","30.2 %","0.0 %","25.0 %","25.0 %","7.5",".415","10556"
"Khris Davis","Athletics","58","5.2 %","24.1 %",".302",".328",".679","17.1 %","29.3 %","0.0 %","46.3 %","24.4 %","1.9",".286","9112"
"J.T. Realmuto","Marlins","49","8.2 %","8.2 %",".356",".408",".578","19.5 %","34.1 %","0.0 %","29.3 %","24.4 %","4.5",".359","11739"
"Mark Reynolds","Rockies","57","8.8 %","19.3 %",".308",".368",".596","24.4 %","19.5 %","0.0 %","34.2 %","12.2 %","1.8",".324","7619"
"Mike Moustakas","Royals","50","8.0 %","18.0 %",".283",".340",".630","24.3 %","45.9 %","11.8 %","37.8 %","16.2 %","1.6",".250","4892"
"Jake Lamb","Diamondbacks","61","13.1 %","31.1 %",".308",".393",".577","32.4 %","29.4 %","10.0 %","50.0 %","32.4 %","6.2",".419","13329"
"Steven Souza Jr.","Rays","63","15.9 %","23.8 %",".321",".429",".509","36.8 %","21.1 %","12.5 %","36.8 %","18.4 %","1.0",".417","5667"
"Yasiel Puig","Dodgers","63","15.9 %","12.7 %",".294",".397",".588","17.8 %","40.0 %","16.7 %","35.6 %","15.6 %","2.4",".268","14225"
"Nomar Mazara","Rangers","62","4.8 %","14.5 %",".328",".371",".586","22.4 %","30.6 %","26.7 %","34.7 %","32.7 %","4.9",".333","14553"
"Matt Wieters","Nationals","45","13.3 %","11.1 %",".316",".422",".526","21.2 %","33.3 %","9.1 %","27.3 %","36.4 %","1.0",".344","4298"
"Starlin Castro","Yankees","58","5.2 %","13.8 %",".364",".397",".527","17.0 %","38.3 %","27.8 %","31.9 %","29.8 %","1.0",".400","4579"
"Elvis Andrus","Rangers","58","3.4 %","10.3 %",".321",".345",".589","24.0 %","34.0 %","5.9 %","30.0 %","8.0 %","7.9",".319","8709"
"Corey Dickerson","Rays","58","6.9 %","22.4 %",".315",".362",".574","24.4 %","41.5 %","11.8 %","36.6 %","34.2 %","0.6",".368","10762"
"Lorenzo Cain","Royals","56","19.6 %","17.9 %",".356",".482",".400","22.9 %","34.3 %","25.0 %","17.1 %","34.3 %","4.5",".457","9077"
"Adam Duvall","Reds","55","9.1 %","25.5 %",".286",".345",".592","27.8 %","38.9 %","14.3 %","38.9 %","16.7 %","4.2",".313","10950"
"Adam Eaton","Nationals","57","15.8 %","19.3 %",".319",".421",".489","13.5 %","35.1 %","7.7 %","32.4 %","40.5 %","4.7",".389","11205"
"Lucas Duda","Mets","49","16.3 %","28.6 %",".244",".367",".585","14.8 %","55.6 %","6.7 %","37.0 %","37.0 %","0.1",".261","2502"
"George Springer","Astros","66","6.1 %","19.7 %",".250",".308",".617","14.9 %","34.0 %","12.5 %","29.8 %","19.2 %","3.5",".200","12856"
"Mookie Betts","Red Sox","50","10.0 %","0.0 %",".356",".420",".489","24.4 %","26.7 %","25.0 %","40.0 %","13.3 %","1.4",".341","13611"
"Jay Bruce","Mets","58","12.1 %","13.8 %",".275",".362",".529","16.7 %","54.8 %","0.0 %","32.6 %","27.9 %","1.4",".256","9892"
"Adam Jones","Orioles","53","9.4 %","17.0 %",".277",".358",".532","26.3 %","28.9 %","9.1 %","39.5 %","39.5 %","1.6",".286","6368"
"Howie Kendrick","Phillies","43","9.3 %","20.9 %",".333",".395",".487","20.7 %","27.6 %","0.0 %","30.0 %","40.0 %","5.6",".433","4229"
"Aaron Judge","Yankees","49","10.2 %","30.6 %",".250",".327",".591","17.2 %","31.0 %","0.0 %","55.2 %","17.2 %","4.6",".280","15640"
"Logan Morrison","Rays","50","8.0 %","16.0 %",".304",".360",".522","18.4 %","34.2 %","7.7 %","31.6 %","13.2 %","0.8",".314","9205"
"Paul Goldschmidt","Diamondbacks","66","21.2 %","18.2 %",".255",".424",".431","10.3 %","41.0 %","6.3 %","51.3 %","18.0 %","5.6",".297","9218"
"Salvador Perez","Royals","52","1.9 %","21.2 %",".280",".288",".600","15.0 %","52.5 %","4.8 %","32.5 %","15.0 %","0.1",".257","7304"
"Anthony Rizzo","Cubs","65","10.8 %","13.8 %",".296",".415",".426","27.3 %","38.6 %","5.9 %","26.7 %","31.1 %","3.6",".341","3473"
"Travis Shaw","Brewers","59","8.5 %","18.6 %",".241",".305",".574","18.6 %","27.9 %","8.3 %","30.2 %","30.2 %","7.1",".250","11982"
"Justin Upton","Tigers","43","14.0 %","30.2 %",".250",".372",".472","8.7 %","30.4 %","0.0 %","39.1 %","21.7 %","3.7",".333","5222"
"Michael Brantley","Indians","51","9.8 %","23.5 %",".289",".373",".489","24.2 %","24.2 %","12.5 %","57.6 %","21.2 %","5.1",".355","4106"
"Andrew Benintendi","Red Sox","64","7.8 %","9.4 %",".321",".391",".446","25.5 %","41.2 %","4.8 %","33.3 %","37.3 %","4.0",".340","17901"
"Kyle Schwarber","Cubs","66","16.7 %","33.3 %",".241",".379",".463","16.1 %","35.5 %","9.1 %","37.5 %","34.4 %","1.0",".345","16478"
"Odubel Herrera","Phillies","53","15.1 %","22.6 %",".289",".396",".422","24.2 %","24.2 %","0.0 %","18.2 %","33.3 %","2.6",".375","11476"
"Joe Panik","Giants","54","11.1 %","11.1 %",".319",".389",".447","26.2 %","28.6 %","0.0 %","35.7 %","26.2 %","7.0",".357","11936"
"Yasmany Tomas","Diamondbacks","51","3.9 %","33.3 %",".286",".314",".531","18.8 %","37.5 %","0.0 %","40.6 %","25.0 %","4.2",".400","17171"
"Max Kepler","Twins","57","7.0 %","21.1 %",".294",".351",".490","23.1 %","46.2 %","22.2 %","37.5 %","32.5 %","4.1",".359","12144"
"Corey Seager","Dodgers","65","10.8 %","29.2 %",".281",".354",".474","28.2 %","41.0 %","0.0 %","51.3 %","35.9 %","4.1",".378","13624"
"Brandon Phillips","Braves","54","3.7 %","11.1 %",".320",".370",".440","11.4 %","22.7 %","10.0 %","25.0 %","31.8 %","6.4",".349","791"
"Jason Castro","Twins","44","20.5 %","18.2 %",".257",".409",".371","29.6 %","37.0 %","0.0 %","37.0 %","29.6 %","1.0",".308","8722"
"Joey Votto","Reds","60","11.7 %","11.7 %",".235",".333",".529","15.6 %","42.2 %","0.0 %","33.3 %","31.1 %","2.9",".195","4314"
"Jacoby Ellsbury","Yankees","53","5.7 %","17.0 %",".327",".377",".429","21.1 %","31.6 %","16.7 %","30.0 %","35.0 %","4.9",".385","4727"
"Jose Altuve","Astros","63","12.7 %","20.6 %",".333",".413",".407","24.4 %","14.6 %","16.7 %","33.3 %","42.9 %","5.3",".429","5417"
"Adam Frazier","Pirates","48","6.3 %","14.6 %",".295",".354",".455","18.9 %","35.1 %","0.0 %","24.3 %","40.5 %","5.0",".333","15223"
"Brandon Belt","Giants","65","15.4 %","21.5 %",".218",".338",".473","19.5 %","39.0 %","6.3 %","29.3 %","17.1 %","6.5",".237","10264"
"Matt Holliday","Yankees","51","19.6 %","23.5 %",".220",".373",".415","13.8 %","34.5 %","10.0 %","27.6 %","31.0 %","0.1",".259","1873"
"Kevin Pillar","Blue Jays","53","1.9 %","11.3 %",".314",".340",".471","22.2 %","28.9 %","23.1 %","33.3 %","24.4 %","1.2",".341","12434"
"Brandon Crawford","Giants","57","5.3 %","14.0 %",".288",".316",".519","13.0 %","39.1 %","16.7 %","28.3 %","37.0 %","4.8",".295","5343"
"Hunter Pence","Giants","65","9.2 %","20.0 %",".310",".369",".431","13.0 %","23.9 %","9.1 %","32.6 %","39.1 %","3.6",".378","8252"
"Nick Markakis","Braves","56","8.9 %","23.2 %",".265",".357",".449","16.7 %","33.3 %","0.0 %","36.1 %","30.6 %","5.1",".343","5930"
"Stephen Piscotty","Cardinals","45","11.1 %","22.2 %",".237",".356",".421","18.5 %","40.7 %","0.0 %","39.3 %","28.6 %","1.5",".269","13367"
"Jayson Werth","Nationals","48","8.3 %","31.3 %",".273",".333",".477","10.3 %","51.7 %","13.3 %","24.1 %","31.0 %","1.0",".346","1327"
"Jonathan Schoop","Orioles","45","2.2 %","15.6 %",".286",".311",".500","19.4 %","47.2 %","23.5 %","27.8 %","22.2 %","2.6",".294","11265"
"Domingo Santana","Brewers","53","13.2 %","20.8 %",".227",".340",".455","23.5 %","20.6 %","0.0 %","26.5 %","23.5 %","5.3",".250","10348"
"Logan Forsythe","Dodgers","54","11.1 %","29.6 %",".295",".407",".341","41.4 %","20.7 %","16.7 %","37.9 %","20.7 %","1.8",".448","7185"
"Ian Kinsler","Tigers","51","19.6 %","21.6 %",".200",".373",".375","24.1 %","44.8 %","23.1 %","41.4 %","27.6 %","1.5",".222","6195"
"Miguel Cabrera","Tigers","53","15.1 %","24.5 %",".222",".340",".444","31.3 %","43.8 %","0.0 %","50.0 %","50.0 %","1.2",".241","1744"
"Yunel Escobar","Angels","66","9.1 %","10.6 %",".300",".364",".400","26.4 %","18.9 %","0.0 %","32.1 %","22.6 %","2.9",".327","4191"
"Andrelton Simmons","Angels","55","9.1 %","12.7 %",".280",".345",".420","23.3 %","27.9 %","16.7 %","30.2 %","34.9 %","3.6",".293","10847"
"Chris Owings","Diamondbacks","55","5.5 %","25.5 %",".308",".345",".423","32.4 %","24.3 %","11.1 %","29.0 %","31.6 %","5.1",".405","10030"
"Jorge Polanco","Twins","54","9.3 %","11.1 %",".292",".352",".417","18.6 %","41.9 %","5.6 %","23.3 %","20.9 %","1.3",".310","13152"
"Kris Bryant","Cubs","66","12.1 %","22.7 %",".228",".333",".421","16.7 %","52.4 %","4.5 %","33.3 %","26.2 %","4.1",".275","15429"
"Welington Castillo","Orioles","40","2.5 %","22.5 %",".333",".350",".410","40.0 %","33.3 %","0.0 %","40.0 %","26.7 %","1.3",".433","3256"
"Josh Harrison","Pirates","49","2.0 %","12.2 %",".262",".367",".357","16.7 %","41.7 %","26.7 %","30.6 %","22.2 %","4.2",".286","8202"
"Manuel Margot","Padres","64","6.3 %","20.3 %",".250",".297",".467","19.1 %","42.6 %","10.0 %","25.5 %","42.6 %","3.6",".273","14712"
"Francisco Cervelli","Pirates","52","7.7 %","15.4 %",".234",".308",".447","15.4 %","35.9 %","0.0 %","46.2 %","28.2 %","1.4",".243","5275"
"Ryan Schimpf","Padres","56","26.8 %","26.8 %",".128",".357",".359","15.4 %","65.4 %","17.6 %","19.2 %","34.6 %","0.6",".087","9953"
"Ender Inciarte","Braves","59","5.1 %","15.3 %",".250",".288",".482","13.3 %","33.3 %","0.0 %","29.8 %","25.5 %","4.2",".233","4922"
"Andrew McCutchen","Pirates","59","5.1 %","20.3 %",".268",".305",".446","20.5 %","31.8 %","0.0 %","29.6 %","18.2 %","3.2",".310","9847"
"DJ LeMahieu","Rockies","60","11.7 %","10.0 %",".264",".350",".377","17.0 %","25.5 %","25.0 %","25.5 %","23.4 %","5.9",".283","9874"
"Shin-Soo Choo","Rangers","50","16.0 %","20.0 %",".238",".360",".333","12.9 %","25.8 %","0.0 %","18.8 %","40.6 %","1.4",".290","3174"
"Jed Lowrie","Athletics","58","13.8 %","15.5 %",".245",".345",".367","22.0 %","43.9 %","11.1 %","34.2 %","36.6 %","0.8",".275","4418"
"Hanley Ramirez","Red Sox","45","11.1 %","13.3 %",".275",".356",".350","29.4 %","32.4 %","0.0 %","44.1 %","29.4 %","1.9",".324","8001"
